topic_id,tag,summary,class,analysis_window,quarter_for_analysis
0,Others,"1. The customer is having an issue with their Cisco IP Phone not being able to register with the Cisco Call Manager.
2. The phone is showing the error message ""SIP Registration Failed"".
3. The customer has tried to reset the phone and the Cisco Call Manager, but the issue persists.
4. The customer has also tried to update the phone's firmware, but the issue still persists.
5. The Cisco Engineer will need to troubleshoot the issue further to determine the root cause.
6. The Engineer may need to gather more information from the customer, such as the phone's model number and",Design/Integration,annual,20233
1,Others,"- The Cisco IOS XR Software Release 6.3.2 contains a bug that causes the device to crash when it receives a large number of ICMPv6 echo requests.
- The bug is caused by a race condition in the TCP/IP stack.
- The crash can occur when the device is under heavy load and is receiving a large number of ICMPv6 echo requests.
- The crash can also occur when the device is configured with a large number of ICMPv6 echo request filters.
- The bug can be fixed by upgrading to Cisco IOS XR Software Release 6.4.0",Design/Integration,annual,20233
0,Directory services,"* The customer is experiencing intermittent connectivity issues with their Cisco 3850 switches.
* The issues are occurring on both wired and wireless networks.
* The customer has tried resetting the switches and updating the firmware, but the issues persist.
* The customer is concerned about the impact of the connectivity issues on their business.
* A Cisco engineer has been dispatched to the customer's site to investigate the issue.
* The engineer will be troubleshooting the issue and working with the customer to resolve it.
* The engineer will provide a status update to the customer once the troubleshooting is complete.
* The customer is confident",Design/Integration,annual,20233
1,Directory services,"- There is a problem with the Cisco IOS XE software.
- The software is not compatible with the new Nexus 9000 switch.
- The software is causing the switch to crash.
- The Cisco TAC team is aware of the issue and is working on a fix.
- The fix is expected to be released in the next software update.
- In the meantime, you can use a workaround to avoid the issue.
- The workaround is to downgrade the switch to a previous version of the software.
- You can find instructions on how to downgrade the software in the Cisco documentation.
- The",Design/Integration,annual,20233
2,Directory services,"- The customer is having an issue with their Cisco ASR 9000 router.
- The router is not able to route traffic properly.
- The customer has tried to reboot the router, but the issue persists.
- The customer has also tried to update the router's firmware, but the issue still persists.
- The Cisco engineer has determined that the issue is caused by a bug in the router's software.
- The engineer has contacted Cisco and is working with them to resolve the issue.
- The customer is expected to receive a fix for the issue in the next software release.
-",Design/Integration,annual,20233
0,Cloud/OS,"The customer wants to deploy ISE on Azure and sync it with their on-prem ISE server.
-- The customer is trying to implement two-factor authentication for VPN users using ISE and Azure Active Directory, but they are not sure how to do it.
-- The issue is that the user needs a switch configuration for Dell (N Series) NAD's to integrate with ISE.",Design/Integration,annual,20233
0,Integration,"* **The Cisco Catalyst 3850 switch is experiencing random reboots.**
* **The reboots are happening every few days.**
* **The switch is running software version 12.2(55)SE1.**
* **The switch is connected to a Catalyst 9300 switch.**
* **The Catalyst 9300 switch is running software version 16.12.1.**
* **The issue is not happening on the Catalyst 9300 switch.**
* **The issue is not happening on any other switches in the network",Design/Integration,annual,20233
0,Cisco firewall,"The issue is that the user is unable to find documentation on how to get ISE to manage the LSC certificate between CUCM and Firepower VPN.
-- The issue is that the syslog port needs to be opened on the firewall for all ISE nodes in a fully distributed deployment.
-- Guillermo is having an issue with multicast audio not being received by IP phones when authentication is disabled on the switch port.
-- The user is asking what method does ISE use to quarantine endpoint and what happens if the devices are not connected to a switch that supports dynamic ACL.
-- The issue being faced is that the user is not sure which technology is responsible for quarantining a user who tries to access something dangerous. The user has integrated their firepower with ISE, and they have a rule that will quarantine users who try to access something dangerous. The quarantine option comes from ISE, but Firepower is the one that triggers the action. The user wants to know if Firepower or ISE is responsible for quarantining the user.
-- The user is facing an issue with Firepower where the user and machine information is not being separated. They are asking for a date when this issue will be fixed, and if not, they would like to know if Cisco recommends Palo Alto or Fortinet as alternatives.
-- The issue is that the user is unable to manually assign ANC policies to hosts in the Secure Network Analytics Host Report section. The error message is ""We encountered an error from one or more ISE clusters while retrieving ANC policy information for the hostPFCU_ISE - Session request failed. Please try again or contact technical support if the problem persists.""",Design/Integration,annual,20233
0,Authentication,"The issue is that the user is looking for documentation or a configuration guide on how to integrate ISE and Imprivata for 2FA auth for SSLVPN.
-- The issue is that ISE is not able to establish a connection to the RSA server, which is why there are no logs on the firewall along the path. This could be due to a number of reasons, such as misconfiguration of the ISE-RSA integration, DNS issues, or a firewall block.
-- The issue being faced is that the user is trying to find a solution to integrate Cisco Anyconnect with Cisco ISE and O365, but they cannot find a solution. They have found a solution that uses Cisco DUO to integrate with O365 instead of ISE, but they want to confirm that the solution with Cisco ASA with anyconnect VPN can integrate with the picture below.
-- The issue is that the company wants to integrate ISE with DUO for MFA for internal users, but they only have device administration (TACACS+) and VM license purchased. They want to know if it is possible to integrate ISE with Duo without any tier license since DUO and ISE communicate via radius.
-- The user is requesting assistance in integrating ISE with DUO for 2FA.
-- The issue is that ISE is not authenticating Zero clients via 802.1x, even though they have a valid certificate from SCEP.",Design/Integration,annual,20233
0,Cisco dna,"- **The customer is having issues with their Cisco IOS XR 9000 router.**
- **The router is not able to route traffic properly.**
- **The customer has tried to reboot the router, but the issue persists.**
- **The customer has also tried to upgrade the router's software, but the issue persists.**
- **The customer is concerned that the router is defective.**
- **Cisco engineers have been unable to replicate the issue in their lab.**
- **Cisco engineers are currently working with the customer to resolve the issue.**
- **",Design/Integration,annual,20233
0,Design,"The Cisco ISE maximum concurrent sessions limits for Dedicated PSNs are inconsistent across different deployment environments, and the reasons for this are not clear.
-- The issue being faced is that the user is confused about the number of active endpoints, total endpoints, total active sessions etc. per deployment and per PSN. The user is asking for clarification on what the correct value is for their deployment.
-- The issue is that the user has allocated too much resources for their Cisco ISE VM. The user has allocated 4 CPUs, 64GB of RAM, and 2.4TB of storage, which is more than is necessary for an evaluation. The user should reduce the amount of resources allocated to their VM to save money and improve performance.",Design/Integration,annual,20233
0,Others,"1. The Cisco IOS XE 17.3.1a release is affected by a bug that can cause devices to crash.
2. The bug is caused by a race condition in the TCP stack.
3. The crash can occur when a device receives a large number of TCP SYN packets.
4. The crash can also occur when a device receives a TCP SYN packet with an invalid sequence number.
5. The bug can be mitigated by disabling TCP SYN cookies.
6. Disabling TCP SYN cookies can increase the risk of SYN flooding attacks.
7. Cisco recommends that customers upgrade to a fixed",Implement,annual,20233
1,Others,"* The Cisco IOS XE 17.3.x software release has a bug that causes the device to crash when BGP is configured with an IPv6 address.
* The bug is caused by a race condition between the BGP daemon and the IPv6 kernel module.
* The crash can occur when BGP is configured with an IPv6 address and the device receives a BGP update from a peer.
* The crash can also occur when BGP is configured with an IPv6 address and the device receives a ICMPv6 packet from a peer.
* The bug can be fixed by upgrading the device to Cisco IOS XE ",Implement,annual,20233
0,Directory services,"- IKEv2 connection with Cisco ISE on ACI Fabric is not working
    - IKEv2 is failing with error code 'INVALID_SPI'
    - IKEv2 is failing with error code 'INVALID_KE_PAYLOAD'
    - IKEv2 is failing with error code 'INVALID_ID_PAYLOAD'
- ISE is not sending IKEv2 SA payload to ACI Fabric
    - ISE is not sending IKEv2 SA payload due to missing 'gateway_id' attribute in ISE configuration
    - ISE is not sending",Implement,annual,20233
1,Directory services,"- The customer is having problems with their Cisco Catalyst 9300 series switches.
- The switches are not properly passing traffic between VLANs.
- The customer has tried to troubleshoot the issue by resetting the switches and changing the switch configurations, but the problem persists.
- The customer is concerned that the problem is with the switches themselves and wants to get them replaced.
- The Cisco engineer will need to gather more information about the problem before making a determination as to whether or not the switches are defective.
- The engineer will need to know the exact model of the switches, the firmware version, and the network topology",Implement,annual,20233
